id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year
2213,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2214,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2215,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2216,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2217,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2218,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2219,WISE 0350-5658,Reticulum,3h 50m 0.32s,−56° 58′ 30.2″,22.8,17.7,Y1,,,2010
2220,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2221,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2222,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2223,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2224,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2225,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2226,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2227,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2228,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2229,WISE 0359-5401,Reticulum,3h 59m 34.06s,−54° 1′ 54.6″,21.56,19.2,Y0,,,2010
2230,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2231,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2232,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2233,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2234,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2235,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2236,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2237,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2238,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2239,WISE 0410+1502,Taurus,4h 10m 22.79s,15° 2′ 47.47″,19.25,20,Y0,6,1.17,2010
2240,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2241,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2242,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2243,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2244,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2245,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2246,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2247,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2248,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2249,WISE 0410+1411,Taurus,4h 10m 54.46s,14° 11′ 31.41″,17.16,85.8,T6,,,2010
2250,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2251,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2252,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2253,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2254,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2255,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2256,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2257,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2258,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
2259,WISE 0413-4750,Horologium,4h 13m 58.14s,−47° 50′ 39.3″,,66.2,T9,,,2010
