,star_names,distance,mass,radius,gravity
104,2MASS J00345157+0523050,31.0,0.040092696,0.0965972199999999,1178.4549471797186
105,2MASS 0036+1821,28.6,0.040092696,0.0965972199999999,1178.4549471797186
106,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.2787267524544
107,WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335918999999999,176.0410467164833
108,2MASS J00501994-3322402 [de],34.0,0.03818352,0.0965972199999999,1122.3380449330652
109,2MASS J00584253-0651239 [de],96.0,0.027683052,0.1469510899999999,351.5971318717642
110,2MASSI J0103320+193536,70.0,0.049638576,0.1007077399999999,1342.364916132563
111,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.1007077399999999,1342.364916132563
112,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300383
113,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984
114,SDSS J015141.69+124429.6,70.0,0.044865636,0.0996801099999999,1238.4366334263539
115,SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.0996801099999999,1238.4366334263539
116,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376
117,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300383
118,2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999,336.70141347991955
119,2MASS J02431371−2453298,35.0,0.031501404,0.1017353699999999,834.7625391438187
120,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328584
121,2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999,446.40140770557906
122,WISE J0254+0223,24.0,0.06204822,0.1952496999999999,446.40140770557906
123,DEN 0255-4700,16.2,0.07636704,0.0996801099999999,2107.977248385283
124,2MASS J03185403-3421292 [de],45.0,0.046774812,0.0996801099999999,1291.136064635986
125,2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999,1649.7053854867931
126,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.93362261908166
127,SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1236.18851364622
128,2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335918999999999,264.06157007472495
129,2MASS J03284265+2302051 [de],98.0,0.051547752,0.1007077399999999,1393.9943359838155
130,2MASS J03341218-4953322,27.0,0.069684924,0.10687352,1673.3068242582376
131,LP 944-20,20.9,0.069684924,0.1469510899999999,885.0548491944406
132,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1664.073567827919
133,Teide 1,380.0,0.05250234,0.3884441399999999,95.4329811379459
134,2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999,1567.877510126036
135,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.5781383444831
136,2MASS J04151954−0935066,18.6,0.02863764,0.0976248499999999,824.1256757641465
137,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1669.384557701969
138,2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999,1561.630600439116
139,2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999,249.1446440491341
140,2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999,1264.7863490311697
141,2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,172.14803783504945
142,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,1586.7166344045677
143,2MASS J04510093-3402150 [de],69.0,0.068730336,0.10687352,1650.3848129670291
144,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,1586.7166344045677
145,2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.3886765721484
146,2MASS J05160945-0445499 [de],73.0,0.044865636,0.0996801099999999,1238.4366334263539
147,2MASS J0523−1403,40.0,0.064911984,0.10379063,1652.6678012497337
148,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1482.5402334740254
149,LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999,349.171836201398
150,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,413.1893345369554
151,2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999,1416.566733092541
152,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
153,DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,1686.5610484742424
154,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
155,UGPS J072227.51-054031.2,13.4,0.024819288,0.1007077399999999,671.1824580662815
156,2MASSI J0727182+171001 [de],29.6,0.039138108,0.0965972199999999,1150.396496056392
157,2MASS J07290002-3954043 [de],25.8,0.035319756,0.0965972199999999,1038.1626915630854
158,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.0965972199999999,1206.513398303045
159,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1659.2174251037488
160,2MASS J07522390+1612157,60.0,0.064911984,0.2065536299999999,417.2882908974664
